Date,Open,High,Low,Close,Volume,Turnover
2022-04-04,17809.1,18114.65,17791.4,18053.4,345526502,386239400000.0
2022-04-05,18080.6,18095.45,17921.55,17957.4,283453612,250967000000.0
2022-04-06,17842.75,17901.0,17779.85,17807.65,328824420,242524800000.0
2022-04-07,17723.3,17787.5,17623.7,17639.55,308840215,262369100000.0
2022-04-08,17698.15,17842.75,17600.55,17784.35,274447433,256081000000.0
2022-04-11,17740.9,17779.05,17650.95,17674.95,251701846,210015800000.00003
2022-04-12,17584.85,17595.3,17442.35,17530.3,266029060,239587700000.0
2022-04-13,17599.9,17663.65,17457.4,17475.65,245061941,202298300000.00003
2022-04-18,17183.45,17237.75,17067.85,17173.65,376130248,301546200000.0
2022-04-19,17258.95,17275.65,16824.7,16958.65,401399563,354671300000.0
2022-04-20,17045.25,17186.9,16978.95,17136.55,286069736,259721500000.0
2022-04-21,17234.6,17414.7,17215.5,17392.6,285200022,249999000000.0
2022-04-22,17242.75,17315.3,17149.2,17171.95,262739740,233717000000.0
2022-04-25,17009.05,17054.3,16888.7,16953.95,275685925,226996500000.0
2022-04-26,17121.3,17223.85,17064.45,17200.8,261065753,220799199999.99997
2022-04-27,17073.35,17110.7,16958.45,17038.4,265140480,253738000000.0
