Date,Open,High,Low,Close,Previous,Change,%Change
2022-03-03,29.2325,29.2325,27.2225,28.155,29.2325,-1.08,-0.0369
2022-03-04,28.155,29.925,27.2225,27.9575,28.155,-0.2,-0.006999999999999999
2022-03-07,27.9575,30.2775,27.9575,29.33,27.9575,1.37,0.049100000000000005
2022-03-08,29.33,30.0575,27.1125,28.5875,29.33,-0.74,-0.0253
2022-03-09,28.5875,28.5875,27.305,27.4675,28.5875,-1.12,-0.0392
2022-03-10,27.4675,27.4675,22.9625,25.5825,27.4675,-1.89,-0.06860000000000001
2022-03-11,25.5825,25.8725,24.58,25.345,25.5825,-0.24,-0.009300000000000001
2022-03-14,25.345,26.2125,25.09,25.6775,25.345,0.33,0.0131
2022-03-15,25.6775,27.5425,23.6575,26.73,25.6775,1.05,0.040999999999999995
2022-03-16,26.73,26.73,24.0125,24.1175,26.73,-2.61,-0.0977
2022-03-17,24.1175,24.1175,20.77,22.61,24.1175,-1.51,-0.0625
2022-03-21,22.61,24.7125,22.61,24.6225,22.61,2.01,0.08900000000000001
2022-03-22,24.6225,25.1575,23.76,24.07,24.6225,-0.55,-0.022400000000000003
2022-03-23,24.07,24.975,20.455,24.7475,24.07,0.68,0.0281
2022-03-24,24.7475,25.53,23.8125,23.93,24.7475,-0.82,-0.033
2022-03-25,23.93,24.2725,22.91,23.43,23.93,-0.5,-0.0209
2022-03-28,23.43,24.2125,19.59,22.61,23.43,-0.82,-0.035
2022-03-29,22.61,22.61,21.1025,21.3025,22.61,-1.31,-0.057800000000000004
2022-03-30,21.3025,21.3025,19.73,20.61,21.3025,-0.69,-0.0325
2022-03-31,20.61,20.9425,20.2125,20.56,20.61,-0.05,-0.0024
2022-04-01,20.56,20.855,18.12,18.435,20.56,-2.13,-0.1034
2022-04-04,18.435,18.825,17.5925,17.9075,18.435,-0.53,-0.0286
2022-04-05,17.9075,18.63,16.79,18.4875,17.9075,0.58,0.032400000000000005
2022-04-06,18.4875,19.2825,16.81,19.0225,18.4875,0.54,0.028900000000000002
2022-04-07,19.0225,19.49,17.7175,18.9975,19.0225,-0.03,-0.0013000000000000002
2022-04-08,18.9975,20.0875,17.53,17.6875,18.9975,-1.31,-0.069
2022-04-11,17.6875,19.145,16.6425,18.27,17.6875,0.58,0.0329
2022-04-12,18.27,18.6725,15.085,18.1575,18.27,-0.11,-0.0062
2022-04-13,18.1575,18.4025,16.1925,17.785,18.1575,-0.37,-0.020499999999999997
2022-04-18,17.785,20.4825,17.785,19.335,17.785,1.55,0.08720000000000001
2022-04-19,19.335,20.8075,14.6275,19.775,19.335,0.44,0.022799999999999997
2022-04-20,19.775,20.265,17.835,18.6725,19.775,-1.1,-0.0558
2022-04-21,18.6725,18.6725,13.35,17.8525,18.6725,-0.82,-0.043899999999999995
2022-04-22,17.8525,18.76,17.8125,18.3525,17.8525,0.5,0.027999999999999997
2022-04-25,18.3525,21.755,18.3525,21.2575,18.3525,2.91,0.1583
2022-04-26,21.2575,21.2575,19.005,19.1875,21.2575,-2.07,-0.0974
2022-04-27,19.1875,21.365,19.1875,20.605,19.1875,1.42,0.0739
